1776116146,2,0
0,
1776116205,2,0
0,0.06
1776116264,2,0
0,0.06
1776116294,2,0,0.06
1776116708,2,0,0.06
1776117607,2,0,0.06
1776118507,2,0,0.06
1776119407,2,0,0.06
1776120306,2,0,0.06
1776121207,2,0,0.06
1776122107,2,0,0.06
1776123008,2,0,0.06
1776123907,2,0,0.06
1776124816,2,0,0.06
1776125708,2,0,0.06
1776126611,2,0,0.06
1776127503,2,0,0.06
1776128403,2,0,0.06
1776129303,2,0,0.06
1776135604,2,0,0.06
1776136504,2,0,0.06
1776137404,3,1,0.44
1776138302,1,0,0.03
1776139203,1,0,0.03
1776140102,1,0,0.03
1776141003,1,0,0.03
1776142803,1,0,0.03
1776143705,1,0,0.03
1776144603,1,0,0.03
1776145503,1,0,0.03
1776146404,1,0,0.03
1776147303,1,0,0.03
1776148203,1,0,0.03
1776149103,1,0,0.03
1776150003,1,0,0.03
